Indicadores,count,mean,std,min,25%,50%,75%,max
TARGET,2789.0,0.49946217282179994,0.5000893726650492,0.0,0.0,0.0,1.0,1.0
FEAR_ENERGY_Z_10,2789.0,0.034134680080711584,0.4933859545120592,-1.8837454951460766,-0.21888936263968806,-0.004506544231438746,0.21249094756559858,3.002151728612998
FEAR_DIFF_7,2789.0,0.0001039615585574325,0.6328277449143295,-2.6347687229537895,-0.2809833860182701,-0.0624848059829608,0.17646562442444913,7.568647462056832
FEAR_DIFF_20,2789.0,5.555091879568467e-05,0.33051887945645564,-1.2244642536062207,-0.15758640745600197,-0.045335548304104675,0.08462123080117889,4.066664121902334
FEAR_RANK_30,2789.0,0.48385323293892674,0.32852374968833487,0.03333333333333333,0.16666666666666666,0.4666666666666667,0.8,1.0
FEAR_RANK_100,2789.0,0.4534922911437791,0.31551376601323133,0.01,0.16,0.42,0.74,1.0
DCP_10,2789.0,0.5234678569864613,0.08991937956803969,0.2519987695551667,0.4592367233317624,0.5217296523334894,0.5875261987198206,0.8049179632597946
ADX_ACCEL_20,2789.0,0.010232304127411515,0.3580376157670286,-1.967780661774205,-0.19574829252830792,-0.029304717283951225,0.19299799799138426,1.9400471090963254
RELATIVE_VOLUME_Z_50,2789.0,0.02142543158826866,0.7512639980413977,-2.1272588452778978,-0.37463926856214896,-0.05464283577132008,0.34018634609248904,2.9895607630229084
VOLUME_RANK_20,2789.0,0.5154535675869487,0.3017904196658357,0.05,0.25,0.5,0.8,1.0
WIN_RATE_Z,2789.0,0.0003293390317880333,0.5091798922644094,-2.043483343661992,-0.33735223268991016,0.0,0.3373522326899131,1.819765600553634
